t_id,t_title,t_title_c,is_junior,mia_e2
101,Laws of indices,指數定律,true,
102,Factoriztion / Expansion,因式分解 / 展開,true,
103,Change of subjects,主項變換,true,
104,Identites,恆等式,true,
105,Simutaneous Equations,聯立方程,true,
106,Percentage,百分數,true,
107,Ratio,比,true,
108,Rate,率,true,
109,Sequence (Junior Forms),數列（初中）,true,
110,Approximation and Error,近似值與誤差,true,
111,Pythagorous' Theorem,畢氏定理,true,
112,Sector,扇形,true,
113,Trigonometry (Junior Forms),三角學（初中）,true,
114,Polygon,多邊形,true,
115,Coordinate Geometry (Junior Forms),坐標幾何（初中）,true,
116,Probabilties (Junior Forms),概率（初中）,true,
117,Measures of Central Tendencies,集中趨勢的量度,true,
118,Similar Triangles / Triangles of Same Heights,相似 / 同高三角形,true,
119,Mensuration of 3D Figures,立體圖形的度量,true,
120,Position Notation,進制,true,
121,Parallel Lines,平行線,true,
122,Symmetry,對稱,true,
123,Plane Geometry,平面幾何,true,
124,Algebraic Fractions,代數分式,true,
125,LCM / HCF of Expressions,表達式的最小公倍數 / 最大公因數,true,
126,Centres of Triangles,三角形的中心,true,
201,Quadratic Equations,二次方程,false,402
202,Complex Number,複數,false,402
203,Nature of Roots of Quadratic Equations,二次方程的根的性質,false,402
204,Quadratic Graphs,二次函數圖像,false,403
205,Function,函數,false,403
206,Equations of Straight Lines,直線方程,false,404
207,Transformation of Axis,坐標軸變換,false,404
208,Factor Theorem / Remainder Theorem,因式定理 / 餘式定理,false,405
209,Logarithmic Transformation,對數變換,false,407
210,Exponential / Logarithmic Functions,指數函數 / 對數函數,false,407
211,Variation,變分,false,409
212,Trigonometry + Algebra,三角學 + 代數,false,410
213,Properties of Circles / Tangents,圓的性質/切線,false,502
214,Linear Inequalities,線性不等式,false,503
215,Linear Programming,線性規劃,false,504
216,Trigonometry of 2D Figures,二維圖形的三角學,false,505
217,Trigonometry of 3D Figures,三維圖形的三角學,false,506
218,Equations of Circles,圓的方程,false,507
219,Locus,軌跡,false,508
220,Measures of Dispersions,離散程度的量度,false,509
221,Statistical Diagrams,統計圖表,false,509
222,Effects on Changes of Distribution,分布改變的影響,false,509
223,Permutation and Combination,排列與組合,false,510
224,Probabilties (Senior Forms),概率（高中）,false,511
225,Arithmetic Sequence / Geometric Sequence,等差數列 / 等比數列,false,602
226,Transformation of Function,函數變換,false,604
227,Discriminant Δ,判別式 Δ,false,402